"rowid","Plot","Plot.Type","Date","Rec.Hour","Rec.Min","Start.sec","End.sec","Common.name","Confidence","Latin.name","class","order","File","Week","True.Positive","New.File"
17,"IF06","IF","20260429",4,55,2031,2034,"Acadian Flycatcher",0.6933,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF06\SMM2-31_20260429_045500.wav",17,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-31_20260429_045500_001_C69.wav"
18,"IF01","IF","20260414",5,13,3408,3411,"Acadian Flycatcher",0.3924,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF01\SMM2-27_20260414_051300.wav",15,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-27_20260414_051300_001_C39.wav"
19,"IF03","IF","20260417",6,9,3015,3018,"Acadian Flycatcher",0.368,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF03\SMM2-28_20260417_060902.wav",16,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-28_20260417_060902_001_C37.wav"
20,"IF03","IF","20260417",6,9,609,612,"Acadian Flycatcher",0.3209,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF03\SMM2-28_20260417_060902.wav",16,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-28_20260417_060902_002_C32.wav"
21,"IF03","IF","20260417",6,9,3039,3042,"Acadian Flycatcher",0.3622,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF03\SMM2-28_20260417_060902.wav",16,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-28_20260417_060902_001_C36.wav"
22,"TO02","TO","20260320",5,48,1698,1701,"Acadian Flycatcher",0.6667,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\TO02\SMM2-02_20260320_054800.wav",12,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-02_20260320_054800_001_C67.wav"
23,"TO02","TO","20260320",5,48,1626,1629,"Acadian Flycatcher",0.2821,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\TO02\SMM2-02_20260320_054800.wav",12,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-02_20260320_054800_001_C28.wav"
24,"TO02","TO","20260320",5,48,1641,1644,"Acadian Flycatcher",0.3205,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\TO02\SMM2-02_20260320_054800.wav",12,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-02_20260320_054800_001_C32.wav"
25,"IF01","IF","20260420",6,5,3414,3417,"Acadian Flycatcher",0.2828,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF01\SMM2-27_20260420_060502.wav",16,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-27_20260420_060502_001_C28.wav"
26,"IF01","IF","20260420",6,5,3225,3228,"Acadian Flycatcher",0.325,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF01\SMM2-27_20260420_060502.wav",16,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-27_20260420_060502_001_C32.wav"
27,"IF06","IF","20260429",4,55,1641,1644,"Acadian Flycatcher",0.3174,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF06\SMM2-31_20260429_045500.wav",17,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-31_20260429_045500_001_C32.wav"
28,"TO02","TO","20260320",5,48,1722,1725,"Acadian Flycatcher",0.5881,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\TO02\SMM2-02_20260320_054800.wav",12,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-02_20260320_054800_001_C59.wav"
29,"IF01","IF","20260414",6,13,486,489,"Acadian Flycatcher",0.3347,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF01\SMM2-27_20260414_061302.wav",15,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-27_20260414_061302_001_C33.wav"
30,"IF03","IF","20260417",6,9,654,657,"Acadian Flycatcher",0.6509,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF03\SMM2-28_20260417_060902.wav",16,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-28_20260417_060902_001_C65.wav"
31,"IF03","IF","20260417",6,9,2997,3000,"Acadian Flycatcher",0.2539,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF03\SMM2-28_20260417_060902.wav",16,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-28_20260417_060902_001_C25.wav"
32,"TO08","TO","20260313",5,58,1368,1371,"Acadian Flycatcher",0.4378,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\TO08\SMM2-08_20260313_055800.wav",11,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-08_20260313_055800_001_C44.wav"
33,"IF06","IF","20260415",6,12,1824,1827,"Acadian Flycatcher",0.2949,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF06\SMM2-31_20260415_061202.wav",15,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-31_20260415_061202_001_C29.wav"
34,"RE03","RE","20260420",6,5,3165,3168,"Acadian Flycatcher",0.3405,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\RE03\SMM2-19_20260420_060502.wav",16,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-19_20260420_060502_001_C34.wav"
35,"IF03","IF","20260421",6,4,1467,1470,"Acadian Flycatcher",0.5993,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF03\SMM2-28_20260421_060402.wav",16,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-28_20260421_060402_001_C60.wav"
36,"RE03","RE","20260420",6,5,3273,3276,"Acadian Flycatcher",0.2924,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\RE03\SMM2-19_20260420_060502.wav",16,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-19_20260420_060502_001_C29.wav"
37,"TO04","TO","20260308",1,59,1269,1272,"Acadian Flycatcher",0.3457,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\TO04\SMM2-04_20260308_015902.wav",10,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-04_20260308_015902_001_C35.wav"
38,"IF01","IF","20260420",5,5,1917,1920,"Acadian Flycatcher",0.2629,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF01\SMM2-27_20260420_050500.wav",16,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-27_20260420_050500_001_C26.wav"
39,"TO02","TO","20260311",7,1,2973,2976,"Acadian Flycatcher",0.2641,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\TO02\SMM2-02_20260311_070102.wav",10,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-02_20260311_070102_001_C26.wav"
40,"IF06","IF","20260429",4,55,1986,1989,"Acadian Flycatcher",0.3098,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF06\SMM2-31_20260429_045500.wav",17,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-31_20260429_045500_001_C31.wav"
41,"IF03","IF","20260421",6,4,1437,1440,"Acadian Flycatcher",0.2662,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF03\SMM2-28_20260421_060402.wav",16,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-28_20260421_060402_001_C27.wav"
42,"IF06","IF","20260429",4,55,1140,1143,"Acadian Flycatcher",0.3323,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF06\SMM2-31_20260429_045500.wav",17,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-31_20260429_045500_001_C33.wav"
43,"IF01","IF","20260420",5,5,1662,1665,"Acadian Flycatcher",0.4736,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF01\SMM2-27_20260420_050500.wav",16,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-27_20260420_050500_001_C47.wav"
44,"IF03","IF","20260417",6,9,510,513,"Acadian Flycatcher",0.2627,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF03\SMM2-28_20260417_060902.wav",16,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-28_20260417_060902_002_C26.wav"
45,"IF03","IF","20260417",6,9,2319,2322,"Acadian Flycatcher",0.2547,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF03\SMM2-28_20260417_060902.wav",16,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-28_20260417_060902_002_C25.wav"
46,"TO02","TO","20260320",5,48,1590,1593,"Acadian Flycatcher",0.2771,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\TO02\SMM2-02_20260320_054800.wav",12,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-02_20260320_054800_002_C28.wav"
47,"IF09","IF","20260425",4,59,1497,1500,"Acadian Flycatcher",0.6027,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF09\SMM2-34_20260425_045900.wav",17,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-34_20260425_045900_001_C60.wav"
48,"TO02","TO","20260320",5,48,1653,1656,"Acadian Flycatcher",0.454,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\TO02\SMM2-02_20260320_054800.wav",12,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-02_20260320_054800_001_C45.wav"
49,"IF03","IF","20260421",5,4,2010,2013,"Acadian Flycatcher",0.2853,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF03\SMM2-28_20260421_050400.wav",16,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-28_20260421_050400_001_C29.wav"
50,"IF03","IF","20260417",6,9,3105,3108,"Acadian Flycatcher",0.3207,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF03\SMM2-28_20260417_060902.wav",16,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-28_20260417_060902_003_C32.wav"
51,"IF03","IF","20260421",6,4,1413,1416,"Acadian Flycatcher",0.4064,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF03\SMM2-28_20260421_060402.wav",16,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-28_20260421_060402_001_C41.wav"
52,"IF03","IF","20260417",6,9,1734,1737,"Acadian Flycatcher",0.3192,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF03\SMM2-28_20260417_060902.wav",16,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-28_20260417_060902_004_C32.wav"
53,"IF01","IF","20260414",6,13,966,969,"Acadian Flycatcher",0.3898,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF01\SMM2-27_20260414_061302.wav",15,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-27_20260414_061302_001_C39.wav"
54,"IF01","IF","20260414",6,13,3228,3231,"Acadian Flycatcher",0.3708,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF01\SMM2-27_20260414_061302.wav",15,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-27_20260414_061302_001_C37.wav"
55,"TO02","TO","20260320",5,48,1662,1665,"Acadian Flycatcher",0.3237,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\TO02\SMM2-02_20260320_054800.wav",12,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-02_20260320_054800_002_C32.wav"
56,"IF01","IF","20260420",6,5,3309,3312,"Acadian Flycatcher",0.4001,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF01\SMM2-27_20260420_060502.wav",16,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-27_20260420_060502_001_C40.wav"
57,"IF06","IF","20260429",5,55,690,693,"Acadian Flycatcher",0.3513,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF06\SMM2-31_20260429_055502.wav",17,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-31_20260429_055502_001_C35.wav"
58,"TO02","TO","20260320",5,48,1677,1680,"Acadian Flycatcher",0.3295,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\TO02\SMM2-02_20260320_054800.wav",12,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-02_20260320_054800_001_C33.wav"
59,"IF03","IF","20260417",6,9,1767,1770,"Acadian Flycatcher",0.5353,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF03\SMM2-28_20260417_060902.wav",16,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-28_20260417_060902_001_C54.wav"
60,"TO02","TO","20260311",7,1,2820,2823,"Acadian Flycatcher",0.3658,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\TO02\SMM2-02_20260311_070102.wav",10,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-02_20260311_070102_001_C37.wav"
61,"TO02","TO","20260311",7,1,2916,2919,"Acadian Flycatcher",0.6921,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\TO02\SMM2-02_20260311_070102.wav",10,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-02_20260311_070102_001_C69.wav"
62,"TO08","TO","20260313",5,58,1350,1353,"Acadian Flycatcher",0.5191,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\TO08\SMM2-08_20260313_055800.wav",11,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-08_20260313_055800_001_C52.wav"
63,"TO06","TO","20260326",5,40,3042,3045,"Acadian Flycatcher",0.2503,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\TO06\SMM2-06_20260326_054000.wav",13,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-06_20260326_054000_001_C25.wav"
64,"IF03","IF","20260417",6,9,702,705,"Acadian Flycatcher",0.3682,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF03\SMM2-28_20260417_060902.wav",16,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-28_20260417_060902_002_C37.wav"
65,"TO08","TO","20260313",5,58,1365,1368,"Acadian Flycatcher",0.404,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\TO08\SMM2-08_20260313_055800.wav",11,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-08_20260313_055800_001_C40.wav"
66,"IF06","IF","20260429",4,55,1095,1098,"Acadian Flycatcher",0.4385,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF06\SMM2-31_20260429_045500.wav",17,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-31_20260429_045500_001_C44.wav"
67,"IF09","IF","20260425",4,59,1221,1224,"Acadian Flycatcher",0.3603,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF09\SMM2-34_20260425_045900.wav",17,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-34_20260425_045900_001_C36.wav"
68,"TO02","TO","20260311",7,1,3015,3018,"Acadian Flycatcher",0.4301,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\TO02\SMM2-02_20260311_070102.wav",10,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-02_20260311_070102_001_C43.wav"
69,"IF09","IF","20260425",4,59,1443,1446,"Acadian Flycatcher",0.7919,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF09\SMM2-34_20260425_045900.wav",17,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-34_20260425_045900_001_C79.wav"
70,"TO04","TO","20260306",12,59,414,417,"Acadian Flycatcher",0.256,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\TO04\SMM2-04_20260306_125902.wav",10,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-04_20260306_125902_001_C26.wav"
71,"IF03","IF","20260417",6,9,651,654,"Acadian Flycatcher",0.574,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF03\SMM2-28_20260417_060902.wav",16,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-28_20260417_060902_001_C57.wav"
72,"IF03","IF","20260417",6,9,1557,1560,"Acadian Flycatcher",0.2525,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF03\SMM2-28_20260417_060902.wav",16,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-28_20260417_060902_003_C25.wav"
73,"TO02","TO","20260320",5,48,1701,1704,"Acadian Flycatcher",0.3222,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\TO02\SMM2-02_20260320_054800.wav",12,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-02_20260320_054800_003_C32.wav"
74,"IF03","IF","20260417",6,9,3204,3207,"Acadian Flycatcher",0.5076,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF03\SMM2-28_20260417_060902.wav",16,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-28_20260417_060902_001_C51.wav"
75,"TO02","TO","20260320",5,48,1602,1605,"Acadian Flycatcher",0.5783,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\TO02\SMM2-02_20260320_054800.wav",12,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-02_20260320_054800_001_C58.wav"
76,"TO08","TO","20260313",5,58,1356,1359,"Acadian Flycatcher",0.5062,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\TO08\SMM2-08_20260313_055800.wav",11,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-08_20260313_055800_001_C51.wav"
77,"IF06","IF","20260415",5,12,2922,2925,"Acadian Flycatcher",0.2937,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF06\SMM2-31_20260415_051200.wav",15,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-31_20260415_051200_001_C29.wav"
78,"IF01","IF","20260420",5,5,1551,1554,"Acadian Flycatcher",0.2611,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF01\SMM2-27_20260420_050500.wav",16,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-27_20260420_050500_002_C26.wav"
79,"IF01","IF","20260404",5,27,1176,1179,"Acadian Flycatcher",0.7132,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF01\SMM2-27_20260404_052700.wav",14,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-27_20260404_052700_001_C71.wav"
80,"IF06","IF","20260429",4,55,1077,1080,"Acadian Flycatcher",0.5524,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF06\SMM2-31_20260429_045500.wav",17,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-31_20260429_045500_001_C55.wav"
81,"TO06","TO","20260306",6,8,2196,2199,"Acadian Flycatcher",0.4051,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\TO06\SMM2-06_20260306_060800.wav",10,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-06_20260306_060800_001_C41.wav"
82,"IF03","IF","20260421",6,4,1434,1437,"Acadian Flycatcher",0.2906,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF03\SMM2-28_20260421_060402.wav",16,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-28_20260421_060402_001_C29.wav"
83,"IF03","IF","20260417",6,9,1764,1767,"Acadian Flycatcher",0.385,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF03\SMM2-28_20260417_060902.wav",16,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-28_20260417_060902_001_C38.wav"
84,"TO02","TO","20260311",7,1,2907,2910,"Acadian Flycatcher",0.3332,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\TO02\SMM2-02_20260311_070102.wav",10,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-02_20260311_070102_001_C33.wav"
85,"TO02","TO","20260311",7,1,2940,2943,"Acadian Flycatcher",0.583,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\TO02\SMM2-02_20260311_070102.wav",10,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-02_20260311_070102_001_C58.wav"
86,"IF01","IF","20260420",5,5,1710,1713,"Acadian Flycatcher",0.4849,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF01\SMM2-27_20260420_050500.wav",16,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-27_20260420_050500_002_C48.wav"
87,"IF03","IF","20260417",6,9,1383,1386,"Acadian Flycatcher",0.3237,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF03\SMM2-28_20260417_060902.wav",16,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-28_20260417_060902_005_C32.wav"
88,"IF01","IF","20260420",5,5,1671,1674,"Acadian Flycatcher",0.336,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF01\SMM2-27_20260420_050500.wav",16,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-27_20260420_050500_001_C34.wav"
89,"IF03","IF","20260417",6,9,3123,3126,"Acadian Flycatcher",0.2697,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF03\SMM2-28_20260417_060902.wav",16,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-28_20260417_060902_002_C27.wav"
90,"IF01","IF","20260414",5,13,3075,3078,"Acadian Flycatcher",0.3624,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF01\SMM2-27_20260414_051300.wav",15,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-27_20260414_051300_001_C36.wav"
